Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,221,22111,3Year,2,N3,N3,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3086,9,3,1,22111
2023_Rotational Plots,2023,221,22112,3Year,2,N3,N3,Z031E0021xMo17,NREC05,2021MOB:1580-85,3087,9,7,1,22112
2023_Rotational Plots,2023,221,22113,3Year,2,N3,N3,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3088,9,11,1,22113
2023_Rotational Plots,2023,221,22114,3Year,2,N3,N3,PH5141,CHECK7,Prairie Hyb,3089,9,15,1,22114
2023_Rotational Plots,2023,221,22115,3Year,2,N3,N3,BR64K93,CHECK4,Blue River Hybrid,3090,9,19,1,22115
2023_Rotational Plots,2023,320,32001,3Year,3,N2,N2,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3110,4,3,1,32001
2023_Rotational Plots,2023,320,32002,3Year,3,N2,N2,Z031E0021xPH207,NREC08,2021MOB:1604-09,3109,4,7,1,32002
2023_Rotational Plots,2023,320,32003,3Year,3,N2,N2,Z031E0047xMo17,NREC09,2021MOB:1612-17,3108,4,11,1,32003
2023_Rotational Plots,2023,320,32004,3Year,3,N2,N2,PH6878,CHECK5,Prairie Hyb,3107,4,15,1,32004
2023_Rotational Plots,2023,320,32005,3Year,3,N2,N2,B73xPHG47,NREC02,2021MOB:1556-61,3106,4,19,1,32005
2023_Rotational Plots,2023,320,32006,3Year,3,N2,N2,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3111,5,3,1,32006
2023_Rotational Plots,2023,320,32007,3Year,3,N2,N2,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3112,5,7,1,32007
2023_Rotational Plots,2023,320,32008,3Year,3,N2,N2,B73xPH207,NREC04,2021MOB:1572-77,3113,5,11,1,32008
2023_Rotational Plots,2023,320,32009,3Year,3,N2,N2,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3114,5,15,1,32009
2023_Rotational Plots,2023,320,32010,3Year,3,N2,N2,BR64K93,CHECK4,Blue River Hybrid,3115,5,19,1,32010
2023_Rotational Plots,2023,320,32011,3Year,3,N2,N2,B73XMo17,NREC01,2021MOB:1548-53,3120,6,3,1,32011
2023_Rotational Plots,2023,320,32012,3Year,3,N2,N2,PH5141,CHECK7,Prairie Hyb,3119,6,7,1,32012
2023_Rotational Plots,2023,320,32013,3Year,3,N2,N2,Z031E0021xPHZ51,NREC07,2021MOB:1596,3118,6,11,1,32013
2023_Rotational Plots,2023,320,32014,3Year,3,N2,N2,B73xPHZ51,NREC03,2021MOB:1564-69,3117,6,15,1,32014
2023_Rotational Plots,2023,320,32015,3Year,3,N2,N2,Z031E0047xPH207,NREC12,2021MOB:1636-41,3116,6,19,1,32015
